2024-11-08 11:49:57.676452	https://www.encodeproject.org/report/?type=Experiment&control_type%21=%2A&perturbed=false&assay_title=long+read+RNA-seq&replicates.library.biosample.donor.organism.scientific_name=Homo+sapiens&biosample_ontology.classification=tissue&biosample_ontology.classification=primary+cell&limit=all
ID	Accession	Assay name	Assay title	Biosample classification	Target	Target of assay	Target gene symbol	Biosample summary	Biosample term name	Dbxrefs	Description	Lab	Project	Status	Files	Related series	Biosample accession	Biological replicate	Technical replicate	Linked antibody	Organism	Life stage	Biosample age	Biosample treatment	Biosample treatment ontology ID	Biosample treatment amount	Biosample treatment amount units	Biosample treatment duration	Biosample treatment duration units	Synchronization	Post-synchronization time	Post-synchronization time units	Biosample modification site target organism	Biosample modification site introduced gene organism	Replicates	Mixed biosamples	Cellular component	Library construction platform	Library construction method
/experiments/ENCSR735BJF/	ENCSR735BJF	long read RNA-seq	long read RNA-seq	tissue				Homo sapiens muscle of arm tissue female embryo (98 days)	muscle of arm			John Stamatoyannopoulos, UW	ENCODE	in progress	/files/ENCFF519MII/,/files/ENCFF273GLB/		ENCBS250SNK	1	1		Homo sapiens	embryonic	98 days												/replicates/e0003cf4-829a-461c-a306-84cd19ecf728/				
/experiments/ENCSR504FSC/	ENCSR504FSC	long read RNA-seq	long read RNA-seq	tissue				Homo sapiens ovary tissue female embryo	ovary			John Stamatoyannopoulos, UW	ENCODE	in progress	/files/ENCFF730PSH/,/files/ENCFF031LYB/		ENCBS102VVS	1	1		Homo sapiens	embryonic													/replicates/592b9c49-e19c-446d-9908-c4ac1bc76fe1/				
/experiments/ENCSR847IOQ/	ENCSR847IOQ	long read RNA-seq	long read RNA-seq	tissue				Homo sapiens renal cortex interstitium tissue female embryo (96 days)	renal cortex interstitium			John Stamatoyannopoulos, UW	ENCODE	in progress	/files/ENCFF857BDF/,/files/ENCFF323EAR/		ENCBS702MUH	1	1		Homo sapiens	embryonic	96 days												/replicates/cfc5b9ec-f2ee-4648-b041-99ae24ede133/				
/experiments/ENCSR809SJR/	ENCSR809SJR	long read RNA-seq	long read RNA-seq	tissue				Homo sapiens heart tissue male embryo (110 days)	heart			John Stamatoyannopoulos, UW	ENCODE	in progress	/files/ENCFF192YJQ/,/files/ENCFF160UBD/		ENCBS649NOQ	1	1		Homo sapiens	embryonic	110 days												/replicates/8840f60b-20af-4fd1-addb-993c61cafe99/				
/experiments/ENCSR557ZVE/	ENCSR557ZVE	long read RNA-seq	long read RNA-seq	tissue				Homo sapiens muscle of back tissue male embryo (101 days)	muscle of back			John Stamatoyannopoulos, UW	ENCODE	in progress	/files/ENCFF761ZEM/,/files/ENCFF174XXP/		ENCBS716WPZ	1	1		Homo sapiens	embryonic	101 days												/replicates/406b2fb0-5d0d-499b-96be-aad886bb6d0c/				
/experiments/ENCSR325LUL/	ENCSR325LUL	long read RNA-seq	long read RNA-seq	tissue				Homo sapiens muscle of back tissue female embryo (113 days)	muscle of back			John Stamatoyannopoulos, UW	ENCODE	in progress	/files/ENCFF543CYB/,/files/ENCFF983FXT/		ENCBS122SKS	1	1		Homo sapiens	embryonic	113 days												/replicates/fdca28cf-b82f-4cbf-8e99-917e6dece8a2/				
/experiments/ENCSR337PJI/	ENCSR337PJI	long read RNA-seq	long read RNA-seq	tissue				Homo sapiens kidney tissue male embryo (113 days)	kidney			John Stamatoyannopoulos, UW	ENCODE	in progress	/files/ENCFF404NIL/,/files/ENCFF962XTC/		ENCBS030JKL	1	1		Homo sapiens	embryonic	113 days												/replicates/e59f96aa-5ede-4d00-a4b5-4001763661bf/				
/experiments/ENCSR246BOF/	ENCSR246BOF	long read RNA-seq	long read RNA-seq	tissue				Homo sapiens spinal cord tissue male embryo (96 days)	spinal cord			John Stamatoyannopoulos, UW	ENCODE	in progress	/files/ENCFF494EKF/,/files/ENCFF946ROY/		ENCBS400MSR	1	1		Homo sapiens	embryonic	96 days												/replicates/36e32e82-3c1e-4dbe-8910-6e5c6ae32fa2/				
/experiments/ENCSR870FIJ/	ENCSR870FIJ	long read RNA-seq	long read RNA-seq	tissue				Homo sapiens renal pelvis tissue male embryo (105 days)	renal pelvis			John Stamatoyannopoulos, UW	ENCODE	in progress	/files/ENCFF386PSZ/,/files/ENCFF693CLU/		ENCBS926WTU	1	1		Homo sapiens	embryonic	105 days												/replicates/8d78b5fb-8bdf-43b8-babe-87bbe2263770/				
/experiments/ENCSR194VUL/	ENCSR194VUL	long read RNA-seq	long read RNA-seq	tissue				Homo sapiens muscle of back tissue male embryo (104 days)	muscle of back			John Stamatoyannopoulos, UW	ENCODE	in progress	/files/ENCFF162TDR/,/files/ENCFF168ROP/		ENCBS152WAR	1	1		Homo sapiens	embryonic	104 days												/replicates/9d0b7ae7-2912-40f1-8d33-b6caf35c6fd9/				
