HG03598 BEB SAS female SAMN29221316 SRS13499233
HG03595 BEB SAS female SAMN29221315 SRS13499232
HG03594 BEB SAS male SAMN29221314 SRS13499231
HG03593 BEB SAS male SAMN29221313 SRS13499229
HG03589 BEB SAS female SAMN29221312 SRS13499230
HG03585 BEB SAS male SAMN29221311 SRS13499227
HG03578 MSL AFR female SAMN29221310 SRS13499228
HG03563 MSL AFR female SAMN29221309 SRS13499375
HG03558 MSL AFR female SAMN29221308 SRS13499374
HG03557 MSL AFR female SAMN29221307 SRS13499373
HG03556 MSL AFR male SAMN29221306 SRS13499372
HG03548 MSL AFR female SAMN29221305 SRS13499370
HG03521 ESN AFR male SAMN29221304 SRS13499371
HG03520 ESN AFR female SAMN29221303 SRS13499369
HG03514 ESN AFR female SAMN29221302 SRS13499368
HG03499 ESN AFR female SAMN29221301 SRS13499367
HG03491 PJL SAS female SAMN29221300 SRS13499366
HG03485 MSL AFR female SAMN29221299 SRS13499363
HG03478 MSL AFR male SAMN29221298 SRS13499362
HG03461 MSL AFR female SAMN29221297 SRS13499043
HG03460 MSL AFR male SAMN29221296 SRS13499042
HG03446 MSL AFR female SAMN29221295 SRS13499041
HG03445 MSL AFR male SAMN29221294 SRS13499040
HG03419 MSL AFR female SAMN29221293 SRS13499039
HG03401 MSL AFR female SAMN29221292 SRS13499038
HG03397 MSL AFR male SAMN29221291 SRS13499037
HG03382 MSL AFR male SAMN29221290 SRS13499036
HG03380 MSL AFR female SAMN29221289 SRS13499034
HG03372 ESN AFR female SAMN29221288 SRS13499033
HG03313 ESN AFR male SAMN29221287 SRS13499032
HG03311 ESN AFR male SAMN29221286 SRS13499031
HG03301 ESN AFR male SAMN29221285 SRS13499030
HG03294 ESN AFR female SAMN29221284 SRS13498917
HG03279 ESN AFR female SAMN29221283 SRS13498916
HG03271 ESN AFR male SAMN29221282 SRS13498915
HG03268 ESN AFR male SAMN29221281 SRS13498914
HG03247 GWD AFR female SAMN29221280 SRS13498913
HG03235 PJL SAS female SAMN29221279 SRS13498911
HG03225 MSL AFR male SAMN29221278 SRS13498910
HG03209 MSL AFR male SAMN29221277 SRS13498909
HG03166 ESN AFR male SAMN29221276 SRS13498908
HG03160 ESN AFR male SAMN29221275 SRS13498907
HG03157 ESN AFR male SAMN29221274 SRS13498906
HG03135 ESN AFR female SAMN29221273 SRS13498905
HG03129 ESN AFR female SAMN29221272 SRS13498904
HG03127 ESN AFR male SAMN29221271 SRS13499226
HG03118 ESN AFR male SAMN29221270 SRS13499225
HG03117 ESN AFR female SAMN29221269 SRS13499224
HG03105 ESN AFR female SAMN29221268 SRS13499222
HG03097 MSL AFR female SAMN29221267 SRS13499223
HG03091 MSL AFR female SAMN29221266 SRS13499220
HG03084 MSL AFR male SAMN29221265 SRS13499221
HG03082 MSL AFR female SAMN29221264 SRS13499219
HG03077 MSL AFR male SAMN29221263 SRS13499218
HG03069 MSL AFR male SAMN29221262 SRS13499217
HG03064 MSL AFR female SAMN29221261 SRS13499215
HG03060 MSL AFR male SAMN29221260 SRS13499216
HG03058 MSL AFR female SAMN29221259 SRS13499361
HG03019 PJL SAS female SAMN29221258 SRS13499360
HG03018 PJL SAS male SAMN29221257 SRS13499359
HG02983 GWD AFR female SAMN29221256 SRS13499358
HG02981 ESN AFR male SAMN29221255 SRS13499357
HG02979 ESN AFR female SAMN29221254 SRS13499356
HG02977 ESN AFR male SAMN29221253 SRS13499355
HG02970 ESN AFR female SAMN29221252 SRS13499353
HG02968 ESN AFR male SAMN29221251 SRS13499354
HG02946 ESN AFR female SAMN29221250 SRS13499352
HG02941 ESN AFR male SAMN29221249 SRS13499351
HG02896 GWD AFR female SAMN29221248 SRS13499350
HG02888 GWD AFR female SAMN29221247 SRS13499349
HG02884 GWD AFR male SAMN29221246 SRS13499028
HG02855 GWD AFR female SAMN29221245 SRS13499029
HG02851 GWD AFR male SAMN29221244 SRS13499027
HG02839 GWD AFR male SAMN29221243 SRS13499026
HG02817 GWD AFR female SAMN29221242 SRS13499025
HG02816 GWD AFR male SAMN29221241 SRS13499024
HG02814 GWD AFR female SAMN29221240 SRS13499023
HG02804 GWD AFR male SAMN29221239 SRS13499021
HG02799 GWD AFR female SAMN29221238 SRS13499020
HG02792 PJL SAS male SAMN29221237 SRS13499019
HG02789 PJL SAS male SAMN29221236 SRS13499018
HG02768 GWD AFR male SAMN29221235 SRS13499017
HG02737 PJL SAS female SAMN29221234 SRS13499015
HG02733 PJL SAS male SAMN29221233 SRS13499214
HG02731 PJL SAS female SAMN29221232 SRS13499213
HG02728 PJL SAS female SAMN29221231 SRS13499212
HG02715 GWD AFR male SAMN29221230 SRS13499210
HG02703 GWD AFR female SAMN29221229 SRS13499211
HG02697 PJL SAS female SAMN29221228 SRS13499209
HG02694 PJL SAS female SAMN29221227 SRS13499207
HG02681 PJL SAS male SAMN29221226 SRS13499208
HG02678 GWD AFR male SAMN29221225 SRS13499206
HG02660 PJL SAS male SAMN29221224 SRS13499204
HG02654 PJL SAS male SAMN29221223 SRS13499203
HG02649 PJL SAS female SAMN29221222 SRS13499205
HG02643 GWD AFR female SAMN29221221 SRS13499202
HG02628 GWD AFR male SAMN29221220 SRS13499016
HG02624 GWD AFR female SAMN29221219 SRS13499012
HG02623 GWD AFR male SAMN29221218 SRS13499013
HG02620 GWD AFR male SAMN29221217 SRS13499011
HG02614 GWD AFR female SAMN29221216 SRS13499010
HG02613 GWD AFR male SAMN29221215 SRS13499009
HG02611 GWD AFR female SAMN29221214 SRS13499007
HG02601 PJL SAS female SAMN29221213 SRS13499008
HG02597 PJL SAS male SAMN29221212 SRS13499006
HG02583 GWD AFR female SAMN29221211 SRS13499005
HG02580 ACB AFR female SAMN29221210 SRS13499558
HG02574 GWD AFR female SAMN29221209 SRS13499557
HG02568 GWD AFR female SAMN29221208 SRS13499201
HG02545 ACB AFR male SAMN29221207 SRS13499200
HG02536 ACB AFR male SAMN29221206 SRS13499199
HG02513 KHV EAS female SAMN29221205 SRS13499198
HG02511 ACB AFR female SAMN29221204 SRS13499196
HG02502 ACB AFR female SAMN29221203 SRS13499197
HG02497 ACB AFR female SAMN29221202 SRS13499195
HG02494 PJL SAS female SAMN29221201 SRS13499194
HG02491 PJL SAS female SAMN29221200 SRS13499193
HG02489 ACB AFR male SAMN29221199 SRS13499189
HG02481 ACB AFR male SAMN29221198 SRS13499190
HG02479 ACB AFR female SAMN29221197 SRS13499188
HG02471 ACB AFR female SAMN29221196 SRS13499348
HG02450 ACB AFR female SAMN29221195 SRS13499347
HG02449 ACB AFR male SAMN29221194 SRS13499346
HG02439 ACB AFR male SAMN29221193 SRS13499344
HG02429 ACB AFR male SAMN29221192 SRS13499345
HG02425 PEL AMR female SAMN29221191 SRS13499343
HG02409 CDX EAS male SAMN29221190 SRS13499342
HG02396 CDX EAS male SAMN29221189 SRS13499341
HG02394 CDX EAS male SAMN29221188 SRS13499340
HG02389 CDX EAS male SAMN29221187 SRS13499339
HG02373 CDX EAS male SAMN29221186 SRS13499338
HG02364 CDX EAS male SAMN29221185 SRS13499337
HG02355 CDX EAS male SAMN29221184 SRS13499336
HG02348 PEL AMR female SAMN29221183 SRS13499555
HG02337 ACB AFR female SAMN29221182 SRS13499554
HG02334 ACB AFR male SAMN29221181 SRS13499552
HG02332 ACB AFR male SAMN29221180 SRS13499553
HG02323 ACB AFR male SAMN29221179 SRS13499551
HG02312 PEL AMR female SAMN29221178 SRS13499549
HG02307 ACB AFR male SAMN29221177 SRS13499550
HG02301 PEL AMR female SAMN29221176 SRS13499547
HG02292 PEL AMR female SAMN29221175 SRS13499548
HG02283 ACB AFR male SAMN29221174 SRS13499546
HG02282 ACB AFR female SAMN29221173 SRS13499545
HG02281 ACB AFR male SAMN29221172 SRS13499544
HG02274 PEL AMR male SAMN29221171 SRS13499543
HG02271 PEL AMR male SAMN29221170 SRS13499501
HG02265 PEL AMR male SAMN29221169 SRS13499499
HG02250 CDX EAS male SAMN29221168 SRS13499498
HG02236 IBS EUR male SAMN29221167 SRS13499496
HG02232 IBS EUR female SAMN29221166 SRS13499497
HG02230 IBS EUR female SAMN29221165 SRS13499495
HG02220 IBS EUR female SAMN29221164 SRS13499494
HG02215 GBR EUR female SAMN29221163 SRS13499493
HG02188 CDX EAS female SAMN29221162 SRS13499491
HG02185 CDX EAS female SAMN29221161 SRS13499490
HG02182 CDX EAS female SAMN29221160 SRS13499187
HG02178 CDX EAS female SAMN29221159 SRS13499186
HG02166 CDX EAS female SAMN29221158 SRS13499185
HG02165 CDX EAS female SAMN29221157 SRS13499184
HG02156 CDX EAS female SAMN29221156 SRS13499182
HG02155 CDX EAS female SAMN29221155 SRS13499183
HG02150 PEL AMR male SAMN29221154 SRS13499181
HG02142 KHV EAS female SAMN29221153 SRS13499180
HG02136 KHV EAS female SAMN29221152 SRS13499179
HG02134 KHV EAS male SAMN29221151 SRS13499178
HG02128 KHV EAS male SAMN29221150 SRS13499175
HG02121 KHV EAS female SAMN29221149 SRS13499176
HG02105 PEL AMR female SAMN29221148 SRS13499174
HG02104 PEL AMR male SAMN29221147 SRS13499335
HG02102 PEL AMR female SAMN29221146 SRS13499334
HG02090 PEL AMR male SAMN29221145 SRS13499333
HG02089 PEL AMR female SAMN29221144 SRS13499332
HG02069 KHV EAS female SAMN29221143 SRS13499331
HG02067 KHV EAS male SAMN29221142 SRS13499330
HG02058 KHV EAS male SAMN29221141 SRS13499328
HG02053 ACB AFR male SAMN29221140 SRS13499327
HG02052 ACB AFR female SAMN29221139 SRS13499326
HG02031 KHV EAS female SAMN29221138 SRS13499325
HG02026 KHV EAS male SAMN29221137 SRS13499324
HG02025 KHV EAS female SAMN29221136 SRS13499322
